id,city,name,geo_hash
3yN1SqU4lnrAu5gvRidskWJx1QhLMkrF,auckland,Z Beach Rd,rckq35
emOuj1sP2OLZgFZquSs8QNlp6Y6qAz03,auckland,Orams Marine Village,rckq2t
JyiI6deAlVsgAWGfSHopq5kXrDMj0H1J,auckland,Z Ponsonby,rckq26
ydJA4DmrnNXZAO0Jl1B1dvBgjPpYHlaO,auckland,BP Connect Fanshawe Street,rckq2s
EKxLlqeV16tzzGZzmJBR5F2dpYagRnMP,auckland,Z Royal Oak,rckq10
XWJt4UjNGA6nN5LEDwKqQKaD3Hfa5tUF,auckland,Gull Kingsland,rckq0x
XpDvFClH8tvK6acCsoHnlNKVaz57iqrV,auckland,Waitomo Epsom,rckq1n
bbDLv8pY71RqHhQFzzBroKKTVVqqBgfl,auckland,GAS Dominion Road,rckq0w
KPLbvUwz5ZnjOlE7AG22wMVMRNGFY83u,auckland,Mobil Mt Eden,rckq0v
is1VzZfShzwoYUBjKeSkhTkQRZXWIFry,auckland,GAS Mt Roskill,rckq01
JFxsphAF0U8eyhSWuxyHLKw2b0gsOrUX,auckland,BP 2go Landscape,rckq0d
eeTATCNRwgqMJYAFNFiwFTQg1R3zc8yp,auckland,Mobil Mt Roskill,rckq03
jfrZrF8wiVSq0zqSwlAYduxidNTI2a3i,auckland,Caltex Dominion Rd,rckq06
GCRPVM4k0PhSg6a3W4Tn5DcAMXMtJQK7,auckland,Mobil St Lukes,rckq0j
zzJmk1RaMFy5PE0XDNMzJMb0dMQUrSVK,auckland,Z Sandringham,rckq0m
VJktaiiAumsjUBFvFgMp8zDJX3AGZ1tT,auckland,Mobil Mt Albert,rckq05
e3rxQk6yAvENILI8RGTW1Mvw4FAn2JwU,auckland,Mobil Dominion Road,rckq0k
RLqgN5A3ASbJBOmqvprPBUbLjUcBv5ig,auckland,Mobil Epsom,rckq1h
8K4okGWGHGADDlN7U3VbcvyvMUUEjoMm,auckland,BP 2go Epsom,rckq15
U4bp1wAZ0Qst5qD6pFkbVyWeyIj4HPlY,auckland,Mobil Eden Park,rckq0r
OqJwFbjWT8kBpBRPyHvx6HipRZzoJTYN,auckland,Mobil Blockhouse Bay,rcknp3
IiekTKig6HnYKwyTjzaVlBbT3QyjdGHo,auckland,BP Connect Waterview,rcknpq
uOtlZaOJMe3g6SJYqcoyLG7TFRu1NTQw,auckland,Z Mt Albert,rcknpy
IA3bK7OotnaKjZVansapqxjA8g6ZLSxk,auckland,BP 2go New Lynn,rcknp1
izfBAqJT5bQAtGUJKyCM7wW40Qytvp5I,auckland,BP Connect Mercury,rcknps
6k5otRIWlLb7KmCnVtAE0RROu03oThAh,auckland,Gull Mt Roskill,rcknpf
yRS5NFpFb0emfSDYOKaYuq1h8BXgdWbZ,auckland,Pak 'n Save Mt Albert,rcknpe
7li3riar2dt4hZtRU0DlpM7CUYsHa6ZM,auckland,BP Connect Newmarket,rckq30
Pk6NLnv0ZorXMicNYivQL7vr3wTrhlFq,auckland,Mobil Avondale,rcknp6
HJuoNzaLjLk8uxdK571fe8G3kf0oUNj5,auckland,Z Avondale,rcknp5
nyrw63zHOaiXzuXMFzNfhG8LRiIrKYGm,auckland,GAS Mt Eden,rckq2b
m0M8zHHvAfnHSayAh5ajnWaTKOIgEUfI,auckland,Mobil Titirangi,rcknnb
R0AW6Z0RuQSZpO0qCQJU8eNqNeuVoMnc,auckland,Z New Lynn,rcknnf
zgSZQlX0aJyEhYQJhKs27iS51SdJ08OM,auckland,Caltex Western Springs,rckq20
iGNJfExPh5dEMTXpMKOVNFH3TpFZb3pc,auckland,U-GO Hillsborough Rd - still under construction 7/4/25,rckjzy
K3bJRz1A07zIKQl4qbLVkeEWMDqNzITm,auckland,Caltex Blockhouse Bay,rckjzq
w2mSvGMlU4aBwhB6iOH6egJScnZTrzzK,auckland,Z Green Bay,rckjyu
Sr6rw14niy1lCNYXqta6UzFxZXZnEpyQ,auckland,BP 2go Hillside,rckmbt
vLIsgnRzOOf2w1r8UFnpXE5ElUqXaDjA,auckland,BP Mt Roskill,rckmbx
7GxZj3rf4yoJl5LnEOJ8vDP5mbstJWrG,auckland,BP 2go Jervois Road,rckq2k7
RyfVikDp4vIHeZG0DO4VdFuSeqnzMrL4,auckland,BP Connect Herne Bay,rckq2k8
dB0fry2N4oIcy1LY1Fx7OUWw1amSEJIg,auckland,Gull Birkenhead,rcknxf
5vGqlCbLvBHIjH7MVReqgGNwaLLvzP6M,auckland,BP Connect Birkenhead,rcknxd
Gl4kchE5JR4bOLRkmBTrbtkOt4UBX3Bn,auckland,BP 2go Motor Centre,rckq8m
ei0fVfWwpfuVPvSSowKISXBKVSIkoeag,auckland,Mobil Verran's Corner,rcknxe
LKt8ffEL67NAhdwtYlTp0RTg5glyfrlR,auckland,Z Glen Park,rcknxv
7vJWQnMsUrFhfVNpkBffv63NsM48r2I7,auckland,BP Connect Clifton,rckq9m
jsVjKAnixxz3EmJ0NJDiJUwXkwyopSqY,auckland,Mobil Parnell,rckq33
8lwGK3XNu4URmA2PtikmiM5S6M61rQkA,auckland,Mobil Karangahape Road,rckq29g
A5aeoOQz0E2K1zXTrrdGfPTmcFxhVcKp,auckland,Caltex Newton,rckq29q
TQDQx8yUu8cMpHQQCKMEpMNTQ2ZAbo4Y,auckland,Caltex All Seasons Energy Centre,rcknq1
AsvF0csoWXcoUxNKRv3SUyaRpd74B7yI,auckland,Z Te Atatu,rcknq7
V2SUjK8gUjNXnMIzMPosWqJ0BXVGi6Ee,auckland,Tasman Fuels Kaurilands,rckjym
jNq66lvOa1w5jKaNA8QIxvEFPH3jVqbn,auckland,Gull Titirangi,rckjy7
lkhdWc8OJbrRAvc4ZSdPpziujCnSTysq,auckland,Caltex West Coast Road,rcknn1
RZfR6d6xRtr2zR7K8ezv0eXfPfytWso5,auckland,BP Connect Glendene,rcknnj
jQ4u8QsVDV6CkLQlRVOPbM5SDHoFxczb,auckland,Mobil Kelston,rcknn8
k74gRXeEgNz3Rinufp7VO68I7SMwoAaF,auckland,Mobil Glendene,rcknnh
f85GhZlyP8bGMKujiWyhtKEQoSySsE5Z,auckland,Z Waikumete,rcknn6
CFJG08FpDA8SryBJnMsdaVa8uik7x6Gk,auckland,Gull Sel Peacock Drive,rcknjz
n7ZojzqOiLw5QMLVQipB0ICvCJ4drilu,auckland,Mobil Kenlock Motors,rcknj8
Axxr8pIgLfPRIQZFnfbDSNGCnyIcaflH,auckland,Z Henderson Valley,rcknjs
0wo6lMw0t3x2tbsQWvYH3f2BLqdzmTS7,auckland,Mobil Lincoln Road,rcknmg
U5FutYr0FhcnEPPIxMlXff1JgpQQindK,auckland,Mobil Henderson,rcknjy
iiTF7a6Mm3zFff8TqwbdQp3PuUU6wxd1,auckland,Waitomo Henderson,rcknjv
6p5GGyUptlKvWYPfBRaant0VdBUEaQft,auckland,BP Henderson,rcknjg
qpF1FyH3H43immHzcNY7c7mDAGlfhMMq,auckland,Mobil Royal Heights,rcknmw
d2htEopuK8gLDvOuQCM6xS3yuVJr0Uds,auckland,Gull Henderson Valley,rcknje
rVkAZiVDEpRz4QsTMcCOOTDQJxhTtgk0,auckland,NPD Swanson Road,rcknm8
qFWGUQ6Namx5Hx11aAfcuReRcFh1pdge,auckland,Caltex Clark Street,rcknp0e
JCxSapx32KYPeT70rghAT6eqyodlgq4E,auckland,BP Connect Junction,rcknp0v
XbbpjqfudWRIMc36qzUhvipV5aK4BN1d,auckland,Gull Portage Road,rcknp0t
DcLknBi2Huhox8e5mFFEPZj6poF1zJyU,auckland,Gull Glen Eden,rcknn2c
QPA3DBmfHvmWyOlPKBEzLV3UQkejdj3X,auckland,Mobil Glen Eden,rcknn27
hfkIoGcmbAEEcRsnrq8vU8Mj2lbGeEBt,auckland,Gull Rosebank Roundabout,rcknnxw
2i3XJtbqZ78LyYsNSlE05enZxxbgI3or,auckland,Gull Rosebank East,rcknnxq
caYOCD8k28vr6Jlab4VyU67Gja1lMpbV,auckland,GAS Albany Heights,rckpn
w3pUvBYusK6L8L0PgPQhwNQBcD1pnQD2,auckland,BP Connect Larnoch,rcknm3
ofVtayxucDGJk7Va71JOGNRF3KFXcwjZ,auckland,Challenge Swanson,rcknk8
wcOlFz48zhOvFjmpe7dum363uZnw4qik,auckland,GAS Swanson,rcknkb
M76PKSIeCFDAALnb2vvaEHkgcubzA5dk,auckland,Costco Westgate,rcknt6
Lx7f2F0CoBMYiGU8jDsqrjQmktO3uvZ1,auckland,Mobil Swanson,rcknm2r
GkVbdNRZSlbxSCGSCSY8qVN1GclW2Kvv,auckland,g.a.s. Brick Street,rcknm2y
OH5fNkaDihGaebIhAoVKMDWuNfF4j6ko,auckland,Mobil Don Buck,rcknmnq
De1g8bbneQvAWbzaAimWB3X1Gt2BPvzx,auckland,"Challenge Massey, Auckland",rcknmnx
GPWxnR636PkPKzVTVVqhkCl4badEWH06,auckland,Z Massey North,rcknt2f
z0YMDyqnsJi8Ji3sspfFC4swt5wrVNHc,auckland,Pak 'n Save Westgate,rcknt2b
aPwUdW7U3iVwf3xE2EYJtf3KhqErvimq,auckland,BP Connect Whenuapai,rckntq
FlqkDRFOj3Kn5lra5TDSCDUOj1xmoyig,auckland,Gull Whenuapai,rckntm
X3EHnXUHRzrhXlRdbaH7MbnckiDymtSB,auckland,Caltex Riverhead,rcknug
hqIVoTI7NtCjLlasGA2pu8DoXfiPDjEH,auckland,BP Connect Hobsonville,rcknwh9
TouIjvQ88rIcl0LpIKKfEItvHW5RRYiQ,auckland,Gull Hobsonville,rcknwh0
lzkKQuoNa0S3px4wnXcPYPHgMJU8wSOc,auckland,Caltex Birkdale,rcknxq
F3YZZ3eEJ2qduDonkKOvSY8fJWRlISnp,auckland,Gull Albany Highway,rcknzk
6GdrX7ftjzKn6VCk0g3T4eQV2ehZ1nTs,auckland,Mobil Constellation Drive,rckqbj
3TtnRtfd1SAK1gd5ymm1RByCbnBKO3GG,auckland,BP 2go Target Road,rcknzg
OxqSunGdIC6xtfkvlk3I32d78M6XnF1Y,auckland,Mobil Glenfield,rcknzf
XcpLiKdzlGgzXLxSJnkBAmgMbPMRzJEy,auckland,GAS Chartwell,rckq8p
xvryGZGhH1zVlsrNM3GueIM6HZSEbDD0,auckland,BP Connect Albany Highway,rcknzq
vMa2WIkRqXm0usTpfSRYYqkJOtwza1pK,auckland,Caltex Albany,rckpp9
OF6FCqbPrOBsv0N3FI4ZZZW0GAYpwaa5,auckland,GAS Pinehill,rckr01
hZjlEZr2qEAzmzc2UOcQyI4qhHddkde6,auckland,BP Connect Rosedale,rckr00
C3zdmD2bLW2eYnkzMGqdL1VMtxe4Zf82,auckland,Pak 'n Save Fuel Albany,rckppd
Xh5zPUpGgYiYcQzc7kAZSy3VlXSzYMd7,auckland,Z Albany,rckpp67
MWcWVE4yDZHmqajKMXTfuFv3MWfjum5U,auckland,Gull Albany Village,rckpp68
3KzHKt3txvMlgZefaekWkxPdj6H7M6ct,auckland,Mobil Oteha Service Station,rckppez
jVMbBZ6qdZ8g5uFJcQmuHBrMS6mdqThh,auckland,Caltex Oteha Valley Road,rckppe5
Gfq2TqzFMO4HkWUsnZ84diSWmH5mmopb,auckland,Z Greville Rd,rckppcqr
BsNssq0DnrjdAQnMAEwjOxikgoXP4dtL,auckland,Gull Greville Road,rckppcqt
sdbMOwbQQ20shvdnqoCMAzVIYexGQP1g,auckland,Caltex Browns Bay,rckr07
Mp1KlZAkNxNFcbmgERCAWcHkxpkv2YDC,auckland,Z Northcross,rckr0j
dHP4VvG7oew6A5FhyDXqp2AesIHVaLNJ,auckland,Z Mairangi Bay,rckqbx
Dc5pW2qxjj2gNqGy1ElKYPO3Dq02Gdop,auckland,Gull Torbay,rckr0x
GNox5HVMUiKWzcd4QRtkMYdDRLpYFWH5,auckland,Caltex Constellation Drive,rckqbnq
dN080SDff1zBmFEiEkFs3c7idaCoX6aQ,auckland,Z Constellation Drive,rckqbn5
SpSZ3aIiuzSXKsxacAsTwG3KPUKOUHZP,auckland,Pak 'n Save Fuel Wairau Road,rckqb2
jg7i8BuSCa5li00XYpUzWRWZmLNPHVsb,auckland,Gull Forrest Hill,rckqbs
N8fQxwuQSrB7CWFpkUqz1SSQsyT4Pcs1,auckland,BP Connect Coventry,rckqb3e
mvhD7HYka0tHfBvz6faHGYOTNWQLtbtq,auckland,Mobil Red Beach,rckpx
mKSojcMrfeloW1nskuVsyqTdYwPEJ3X7,auckland,BP Connect Dairy Flat,rckpq
dS7t7rADODis685RdfXVSXQQpi5dNWTi,auckland,Mobil Takapuna,rckq8y
8PKubqZ1UNJpc1SpQqzEqj61qdX78Rei,auckland,"Challenge Milford, North Shore Auckland",rckqbc
xjyd5GPOXG8bcLRm8sbIgWKujCK7bGV1,auckland,BP 2go Onewa Road,rckq86u
I7ITt3JGDWIrIaZoshfOQluytjz5ROkJ,auckland,Z Northcote,rckq86b
nNUFKKIDUTbfwvOHczwGWK5wG8P6iO4y,auckland,Mobil Sunnybrae,rckq8qr
7h5KGH30loo5gGWGSmxEGmQgqcbu8uru,auckland,Z Sunnybrae,rckq8qp
JKRbNj0sWRzf21tGGLrjezjt6q1NfDR4,auckland,BP Connect Smales Farm,rckq8xm
EcDbnPYcvIfIldGJKrOJnvmw1rgn1AtF,auckland,Gull Takapuna,rckq8xp
TxbFErIaMRXDabaeU2A37Bg5S2QUAin1,auckland,Z Lakeside,rckq8xq
WSRtON707TLVJwB6QCNTEN2WWMirFWKx,auckland,Gull Devonport,rckq9b
HNDmELRrf70ssUZMTVYZNj3ZU7hnQzHy,auckland,Mobil Greenlane,rckq1t
FUWhKgvs3rlob608vqhsS8WIXdPpU1Cd,auckland,Caltex Penrose,rckq1c
JD31bHSLn1D06n8elbqVdNQZvBiYbMGM,auckland,BP 2go Ellerslie,rckq1f
bKy0sicj8kuKiDghVzCBSvr5CqSyoiZg,auckland,GAS Station Road,rckq1b
mlDxrpv36FPO71RcrqDOkXf3R25bKNi1,auckland,Z Kepa Rd,rckq61
tRYyKDKv13urngPlDHewJnovoj26E2RF,auckland,GAS Church St ,rckmcw
idKIQyeXH6eplvtpAMaZzSJpS2MepKh8,auckland,BP 2go Mt Smart,rckmcz
eFvbNODyjqm7kpPIj4GPu3cNtCzhzuIo,auckland,Mobil Onehunga,rckmcm
xogZKCkFU45Z3LP8cgOqXIUAGHL4jzHq,auckland,Caltex Abbotts Way,rckq4h
J6ZMsaKhZRQNpgZMANnp6BXTmbleHUsD,auckland,GAS Great South Rd,rckq40
Mk71Z1671Kc208rO6fqg876HDhM26OHr,auckland,Z Ellerslie,rckq44
8BwdvIIQ03xCWELAZgEtzmnJRLMigSaD,auckland,GAS Mangere Bridge,rckmc7
zLnjip7a23cbmdzppACkiyEdjyJwuxDF,auckland,Gull Saleyards Road,rckmf6
7mGfQvhQyd6tRoWtTyVlNwdANonKH8F2,auckland,Mobil Fuel Stop,rckmf7
5xIQbtMswCpv0WcgHpoM7FddLgTHliD0,auckland,Gull Marua Road,rckq47
VNWHaQIWW60SDoFW7hzPAwsFZSMtWbTT,auckland,BP Connect Lunn Avenue,rckq4k
FyPCapx7X7HcqT6ro3kBT8jkb41vgjhs,auckland,BP 2go Meadowbank,rckq4q
qKG0Tm8qL0yV8yge1POY6hlATzwGYEah,auckland,U-GO Waikaraka,rckmct9
Ggg7EoLXaV1N4WLFvsg6kvsqJROzpWZv,auckland,Gull Onehunga,rckmcty
SVgxO25j0JMtDNDigB0oO2eQ8LGIox7i,auckland,Z Greenlane,rckq1s6
iRWouheYFHo8O2iKJvukFnweJkApBpAy,auckland,BP Connect Boulevard,rckq1eg
mH2cURf4l4QazlutMkfEFJoqk3COqEsP,auckland,Z Triangle,rckq1em
gwFdsfBgi3aHSgg141aGbAPum4K3ZMPT,auckland,BP Connect Greenlane,rckq1su
Z1JBY288YMHwBMGliMdwPpBM1Xugecr4,auckland,Tasman Fuels St Heliers,rckq6c
D3PUSgiq63PNPCGuB1g86u3wRTN35meS,auckland,Z Sylvia Park,rckmfw
oFnmZwwh2UFeNsZ6TChFCWJpsXCG5ORO,auckland,Mobil Mt Richmond,rckmft
lmVlLQROCjQo5aFdeIpZgWYIfDHZ4blh,auckland,Mobil Mt Wellington,rckq49
lT2vbRpPTFz6pedW7x4u37eUlcvyQy4L,auckland,Z Panmure,rckq4e
CxDYGY3G3SI46bk1gA2C4RPyCww7vrm2,auckland,Caltex Sylvia Park,rckq48
h7uyzY3QAdq10ErDtFqprG77L5BwiXjG,auckland,Gull Carbine Road,rckmfz
MXwTcWt0KipyfrMDfvVKBKR2bizetU1O,auckland,GAS Carbine Road,rckmfy
PpaQsvMIlINohUp5b4Lk7Ee1N6vZ43KG,auckland,Pak 'n Save Glen Innes,rckq4z
Wy32SYeyWM1K8PDFqSVUsOeyInLgu64b,auckland,Mobil Panmure,rckq4f
bjQd5iF2HoiJAdjChZbNkegeIi0DYdUl,auckland,GAS Panmure,rckq4u
4qUwywqT2vGuzo1AOk6qRWJp73VRdao2,auckland,Mobil Otahuhu,rckmfd
11oX4W3LIJximdZbs1RczYjvXhLzqlaa,auckland,Gull St Heliers,rckq68n
BACTv3dKPIeSUwXHVTF4XhDo2LMupveJ,auckland,Mobil Clearview,rckq68r
8sBXILfzFdAqKqKakPBxawUa5k8RdPEP,auckland,GAS Glen Innes,rckq4yw
2tn8JF64cMzG1gcrdMezsLwgYoVBczAa,auckland,Mobil Glen Innes,rckq4yj
hLl5U1uweUar3ZoD5iqFXNn2Q7H5bGtM,auckland,Z Glen Innes,rckq4yt
kDRLqlIzpTuKgQZWFFySztsdqjMZGTpF,auckland,GAS Pakuranga,rckq52
OMwj10GSQCBbucj0tpPcure3xn8HfdDF,auckland,Caltex Mangere,rckmf2
viABI11H63XfWFIuDbHst4xj0REbY5WB,auckland,Caltex Monument,rckmf9
4iMGeMJyaBNkn4StpJTt4XyktHJQZyFL,auckland,GAS 628 Great South Road,rckmfb
AtuXUpP1KpVZztkCbAXsOQGRf8ABqMyK,auckland,Z Highbrook,rckmg7
z71zYdtlEfBqgaxWMpjWgp3LB75f3nrJ,auckland,Gull Bader Drive,rckm9v
jK3tdnS5uliUfgI1vLsLwbfMsedXpYoB,auckland,BP 2go Station Road,rckmdt
ROIx0nSqGCTAEp6BH7tTz3Du1rinpWHR,auckland,Gull Papatoetoe,rckmdz
FXJbve2jR82azf6JwdJPlblgP3qNfGQO,auckland,Caltex Otara,rckmep
